Squad,PC1,PC2,Cluster
,3.0835657489313983,-0.5597785773100656,3
Arsenal,1.222042337184444,-0.9182517852924406,0
Tottenham,1.8498543308374547,0.14426611934182776,3
Liverpool,1.3462358694563228,0.3411209488935109,2
Bournemouth,2.8697595780210703,0.7614040594682885,3
Chelsea,0.4886807988824333,0.1241258116113567,2
Everton,-0.20866781757183714,-1.206830040722529,0
Sunderland,1.4289999997777145,-0.8243307921639794,0
Crystal Palace,1.0022429247501456,-1.3216561253001495,0
Newcastle Utd,-0.9603725904707905,-0.5259072754984014,1
Fulham,0.8129414381413302,0.9679482357960965,2
Manchester Utd,-0.5544113207120911,0.7986452330462828,2
Brentford,0.19791038297903046,0.9887195474272521,2
Brighton,-2.0076463061409915,0.5077561148409566,1
Nott'ham Forest,-1.361044508861619,-0.5854500538676377,1
Leeds United,1.3147261375609516,0.810779398674022,2
Manchester City,-2.991016152948722,0.06137997636430577,1
Burnley,-1.5731448476724876,1.4357895248268375,1
West Ham,-2.774138019173161,-1.2231072341346882,1
Aston Villa,-3.1865179829705954,0.22337691399915321,1
